,0
68,[ATENCIÓN] INFOGRAFÍA: Actualizada hasta este sábado 06 de junio. #MoronaSantiago sube a 179 contagios de coronavirus ❗📈 https://t.co/cnXinGfQjm https://t.co/aRn3yWQWUO
69,#EmergenciaEc #Covid19Ec | #Ecuador suma 622 contagios y alcanza los 42.728 casos positivos para #coronavirus &gt;&gt;&gt; https://t.co/FYPTrzp2du https://t.co/hwBdjrhTnq
70,#EmergenciaEc #Covid19Ec | #Ecuador suma 622 contagios y alcanza los 42.728 casos positivos para #coronavirus &gt;&gt;&gt; https://t.co/Pe1JOcDv9F https://t.co/EqjbTJAlnf
71,Siento que rápidamente nos estamos olvidando del coronavirus.
72,Reporte oficial de casos de coronavirus en Ecuador difundido por las autoridades del Gobierno. ► https://t.co/mEKEgGiFzb https://t.co/uR59jRPNJi
73,En India se incineran cadáveres todo el día en medio de la pandemia de coronavirus https://t.co/L67vIvJ94S por @eluniversocom
74,"Mira, ahí está el tipo que dice que las antenas 5G dan coronavirus https://t.co/hSTiawj5Ls"
75,"🔘 #ElDatoAPR| Compartimos algunas recomendaciones para recordarte que debes continuar practicándolas, y así evitar la propagación del #COVID19. 

#APR #ComunicaciónDigital #Riobamba #Chimborazo #COVID19Ec #Coronavirus https://t.co/10iQEDjP4t"
76,Chile volvió a registrar su cifra máxima de muertos diarios por coronavirus: 93 en 24 horas. Mäs detalles👉https://t.co/3jFbygdCVK https://t.co/b0V2OGEDLH
77,"El artista español Miguel Bosé se refirió al coronavirus como “la gran mentira de los gobiernos”. Lo hizo en una publicación en su cuenta de Twitter / La Vanguardia. 
https://t.co/iPEXKCoJQP https://t.co/2O4qLDmbPR"
78,"🛑ACTUALIZACIÓN Ecuador casos covid19, 6 junio: 42.728 contagiados. 3.608 fallecidos por coronavirus y 2.429 con sospecha https://t.co/8AbTt8I2pL a través de @TuVozTV"
79,"Las cifras actualizadas del avance del coronavirus en Ecuador registran hoy, sábado 6 de junio, 42.728 casos confirmados en el país y 3.608 personas fallecidas producto del nuevo virus. Los detalles 👉 https://t.co/jAICpFGpP4 https://t.co/nlwlRBMd2w"
80,India ya es el sexto país del mundo con más casos de coronavirus https://t.co/Yl0DlsZnMs
81,"No me jodas, que ha sacado muñequitos de Los Vengadores para explicar el coronavirus jaja https://t.co/DB08G44vb6"
82,"Últimas noticias del coronavirus, en directo | Más de un tercio de las muertes por covid-19 en una semana se concentran en Madrid  https://t.co/30t09oXx4T a través de @el_pais
Se está coronando Ayuso Calamidad"
83,Clubes de @LigaProEC cumplen pruebas de coronavirus ▶️ https://t.co/2hChcZ50ew
84,URGENTE contagiados de #coronavirus los conductores del trolebús en #QUITO https://t.co/xjZiUJgo9B
